Hospital,Especialidade,Nota_Prova,Nota_Curriculo,Total
Universidade Federal do Triangulo Mineiro - Uberaba,neurocirurgia,56.4,9.2,65.6
Universidade Federal do Triangulo Mineiro - Uberaba,neurocirurgia,58.8,4.7,63.5
Universidade Federal do Triangulo Mineiro - Uberaba,neurocirurgia,52.8,9.9,62.7
Universidade Federal do Triangulo Mineiro - Uberaba,neurocirurgia,58.8,3.8,62.6
Universidade Federal do Triangulo Mineiro - Uberaba,neurocirurgia,58.8,3.35,62.15
Universidade Federal do Triangulo Mineiro - Uberaba,neurocirurgia,54,7.9,61.9
Universidade Federal do Triangulo Mineiro - Uberaba,neurocirurgia,56.4,4.8,61.2
Universidade Federal do Triangulo Mineiro - Uberaba,neurocirurgia,54,7.1,61.1
Universidade Federal do Triangulo Mineiro - Uberaba,neurocirurgia,52.8,8.2,61
Universidade Federal do Triangulo Mineiro - Uberaba,neurocirurgia,51.6,9,60.6
Universidade Federal do Triangulo Mineiro - Uberaba,neurocirurgia,56.4,4.1,60.5
Universidade Federal do Triangulo Mineiro - Uberaba,neurocirurgia,52.8,7.5,60.3
Universidade Federal do Triangulo Mineiro - Uberaba,neurocirurgia,50.4,9.85,60.25
Universidade Federal do Triangulo Mineiro - Uberaba,neurocirurgia,51.6,8.2,59.8
Universidade Federal do Triangulo Mineiro - Uberaba,neurocirurgia,56.4,3.3,59.7
Universidade Federal do Triangulo Mineiro - Uberaba,neurocirurgia,55.2,4,59.2
Universidade Federal do Triangulo Mineiro - Uberaba,neurocirurgia,51.6,7,58.6
Universidade Federal do Triangulo Mineiro - Uberaba,neurocirurgia,48,10,58
Universidade Federal do Triangulo Mineiro - Uberaba,neurocirurgia,51.6,6.1,57.7
Universidade Federal do Triangulo Mineiro - Uberaba,neurocirurgia,50.4,6.9,57.3
Universidade Federal do Triangulo Mineiro - Uberaba,neurocirurgia,52.8,4.3,57.1
Universidade Federal do Triangulo Mineiro - Uberaba,neurocirurgia,50.4,6.3,56.7
Universidade Federal do Triangulo Mineiro - Uberaba,neurocirurgia,50.4,6.1,56.5
Universidade Federal do Triangulo Mineiro - Uberaba,neurocirurgia,52.8,3.6,56.4
Universidade Federal do Triangulo Mineiro - Uberaba,neurocirurgia,48,8.4,56.4
Universidade Federal do Triangulo Mineiro - Uberaba,neurocirurgia,46.8,7,53.8
Universidade Federal do Triangulo Mineiro - Uberaba,neurocirurgia,50.4,3.3,53.7
Universidade Federal do Triangulo Mineiro - Uberaba,neurocirurgia,48,5.3,53.3
Universidade Federal do Triangulo Mineiro - Uberaba,neurocirurgia,48,3.05,51.05
Universidade Federal do Triangulo Mineiro - Uberaba,neurocirurgia,46.8,4.1,50.9
Universidade Federal do Triangulo Mineiro - Uberaba,neurocirurgia,46.8,3.8,50.6
Universidade Federal do Triangulo Mineiro - Uberaba,neurocirurgia,45.6,2.4,48
Universidade Federal do Triangulo Mineiro - Uberaba,neurocirurgia,45.6,2.2,47.8
Universidade Federal do Triangulo Mineiro - Uberaba,neurologia,66,9.1,75.1
Universidade Federal do Triangulo Mineiro - Uberaba,neurologia,63.6,9.4,73
Universidade Federal do Triangulo Mineiro - Uberaba,neurologia,61.2,10,71.2
Universidade Federal do Triangulo Mineiro - Uberaba,neurologia,64.8,6,70.8
Universidade Federal do Triangulo Mineiro - Uberaba,neurologia,61.2,9.2,70.4
Universidade Federal do Triangulo Mineiro - Uberaba,neurologia,60,10,70
Universidade Federal do Triangulo Mineiro - Uberaba,neurologia,60,10,70
Universidade Federal do Triangulo Mineiro - Uberaba,neurologia,63.6,6.1,69.7
Universidade Federal do Triangulo Mineiro - Uberaba,neurologia,61.2,7.6,68.8
Universidade Federal do Triangulo Mineiro - Uberaba,neurologia,58.8,9.7,68.5
Universidade Federal do Triangulo Mineiro - Uberaba,neurologia,60,7.5,67.5
Universidade Federal do Triangulo Mineiro - Uberaba,neurologia,58.8,8.1,66.9
Universidade Federal do Triangulo Mineiro - Uberaba,neurologia,63.6,3.25,66.85
Universidade Federal do Triangulo Mineiro - Uberaba,neurologia,61.2,4.6,65.8
Universidade Federal do Triangulo Mineiro - Uberaba,neurologia,60,5.75,65.75
Universidade Federal do Triangulo Mineiro - Uberaba,neurologia,56.4,9,65.4
Universidade Federal do Triangulo Mineiro - Uberaba,neurologia,60,5.4,65.4
Universidade Federal do Triangulo Mineiro - Uberaba,neurologia,57.6,7.8,65.4
Universidade Federal do Triangulo Mineiro - Uberaba,neurologia,60,5.3,65.3
Universidade Federal do Triangulo Mineiro - Uberaba,neurologia,60,5.2,65.2
Universidade Federal do Triangulo Mineiro - Uberaba,neurologia,57.6,7.55,65.15
Universidade Federal do Triangulo Mineiro - Uberaba,neurologia,57.6,6.45,64.05
Universidade Federal do Triangulo Mineiro - Uberaba,neurologia,50.4,7.3,63.47
Universidade Federal do Triangulo Mineiro - Uberaba,neurologia,61.2,2,63.2
Universidade Federal do Triangulo Mineiro - Uberaba,neurologia,57.6,4.6,62.2
Universidade Federal do Triangulo Mineiro - Uberaba,neurologia,58.8,3,61.8
Universidade Federal do Triangulo Mineiro - Uberaba,neurologia,54,7.7,61.7
Universidade Federal do Triangulo Mineiro - Uberaba,neurologia,55.2,5.4,60.6
Universidade Federal do Triangulo Mineiro - Uberaba,neurologia,54,6.5,60.5
Universidade Federal do Triangulo Mineiro - Uberaba,neurologia,50.4,9,59.4
Universidade Federal do Triangulo Mineiro - Uberaba,neurologia,54,4.9,58.9
Universidade Federal do Triangulo Mineiro - Uberaba,neurologia,52.8,5.95,58.75
Universidade Federal do Triangulo Mineiro - Uberaba,neurologia,52.8,5.5,58.3
Universidade Federal do Triangulo Mineiro - Uberaba,neurologia,51.6,6.55,58.15
Universidade Federal do Triangulo Mineiro - Uberaba,neurologia,50.4,7.5,57.9
Universidade Federal do Triangulo Mineiro - Uberaba,neurologia,51.6,5.5,57.1
Universidade Federal do Triangulo Mineiro - Uberaba,neurologia,52.8,3.55,56.35
Universidade Federal do Triangulo Mineiro - Uberaba,neurologia,51.6,4.6,56.2
Universidade Federal do Triangulo Mineiro - Uberaba,neurologia,51.6,4.05,55.65
Universidade Federal do Triangulo Mineiro - Uberaba,neurologia,45.6,10,55.6
Universidade Federal do Triangulo Mineiro - Uberaba,neurologia,49.2,6.1,55.3
Universidade Federal do Triangulo Mineiro - Uberaba,neurologia,50.4,4.6,55
Universidade Federal do Triangulo Mineiro - Uberaba,neurologia,46.8,8.1,54.9
Universidade Federal do Triangulo Mineiro - Uberaba,neurologia,45.6,9.2,54.8
Universidade Federal do Triangulo Mineiro - Uberaba,neurologia,50.4,4.2,54.6
Universidade Federal do Triangulo Mineiro - Uberaba,neurologia,45.6,8.5,54.1
Universidade Federal do Triangulo Mineiro - Uberaba,neurologia,49.2,4.9,54.1
Universidade Federal do Triangulo Mineiro - Uberaba,neurologia,49.2,4.2,53.4
Universidade Federal do Triangulo Mineiro - Uberaba,neurologia,48,4.6,52.6
Universidade Federal do Triangulo Mineiro - Uberaba,neurologia,45.6,6.8,52.4
Universidade Federal do Triangulo Mineiro - Uberaba,neurologia,48,4.2,52.2
Universidade Federal do Triangulo Mineiro - Uberaba,neurologia,46.8,4.85,51.65
Universidade Federal do Triangulo Mineiro - Uberaba,neurologia,48,3.3,51.3
Universidade Federal do Triangulo Mineiro - Uberaba,neurologia,46.8,4.4,51.2
Universidade Federal do Triangulo Mineiro - Uberaba,neurologia,48,2.2,50.2
Universidade Federal do Triangulo Mineiro - Uberaba,neurologia,45.6,4.1,49.7
Universidade Federal do Triangulo Mineiro - Uberaba,neurologia,45.6,3.5,49.1
Universidade Federal do Triangulo Mineiro - Uberaba,neurologia,48,0.6,48.6
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,70.8,10,80.8
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,68.4,9.7,78.1
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,64.8,9.9,74.7
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,66,7.9,73.9
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,69.6,2.2,71.8
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,64.8,6.9,71.7
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,61.2,10,71.2
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,62.4,7.9,70.3
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,60,9.4,69.4
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,62.4,6.45,68.85
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,61.2,7.65,68.85
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,62.4,6.1,68.5
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,63.6,4.6,68.2
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,62.4,5.6,68
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,64.8,3,67.8
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,61.2,6.55,67.75
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,63.6,4.1,67.7
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,57.6,10,67.6
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,61.2,6.05,67.25
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,62.4,4.8,67.2
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,60,6.75,66.75
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,60,6.55,66.55
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,58.8,7.6,66.4
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,58.8,7.3,66.1
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,58.8,7,65.8
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,58.8,6.8,65.6
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,58.8,6.7,65.5
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,56.4,8.6,65
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,58.8,6.1,64.9
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,57.6,7.2,64.8
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,56.4,8.35,64.75
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,58.8,5.9,64.7
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,56.4,8.3,64.7
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,58.8,5.6,64.4
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,58.8,5.1,63.9
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,60,3.9,63.9
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,56.4,7.5,63.9
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,58.8,5,63.8
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,61.2,2.3,63.5
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,57.6,5.8,63.4
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,55.2,7.5,62.7
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,52.8,9.7,62.5
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,54,8.5,62.5
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,55.2,7.1,62.3
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,60,2.3,62.3
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,56.4,5.75,62.15
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,57.6,4.5,62.1
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,57.6,4.45,62.05
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,54,8,62
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,56.4,5.6,62
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,58.8,3.1,61.9
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,55.2,6.5,61.7
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,56.4,4.8,61.2
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,54,7,61
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,56.4,4.3,60.7
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,55.2,5.4,60.6
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,55.2,5.35,60.55
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,52.8,7.7,60.5
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,52.8,7.5,60.3
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,55.2,5,60.2
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,51.6,8.3,59.9
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,50.4,9.3,59.7
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,54,5.7,59.7
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,55.2,4.05,59.25
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,52.8,6.3,59.1
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,51.6,7.5,59.1
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,52.8,6.25,59.05
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,52.8,6.25,59.05
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,51.6,7.2,58.8
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,54,4.7,58.7
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,51.6,6.95,58.55
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,56.4,2,58.4
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,51.6,5.95,57.55
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,50.4,6.9,57.3
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,51.6,5.3,56.9
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,51.6,5.3,56.9
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,51.6,5.1,56.7
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,51.6,5.05,56.65
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,51.6,5,56.6
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,50.4,6.1,56.5
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,49.2,7,56.2
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,50.4,5.6,56
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,50.4,5.5,55.9
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,50.4,5.25,55.65
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,51.6,4,55.6
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,49.2,6.3,55.5
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,49.2,6.3,55.5
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,51.6,3.8,55.4
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,49.2,5.9,55.1
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,49.2,5.8,55
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,51.6,3.3,54.9
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,52.8,2,54.8
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,50.4,4.3,54.7
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,50.4,4.2,54.6
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,50.4,4.2,54.6
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,50.4,4.15,54.55
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,49.2,5.3,54.5
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,50.4,4.1,54.5
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,49.2,4.7,53.9
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,49.2,4.6,53.8
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,49.2,4.6,53.8
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,50.4,3.25,53.65
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,46.8,6.3,53.1
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,46.8,6,52.8
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,50.4,2.3,52.7
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,48,4.3,52.3
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,49.2,2.85,52.05
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,46.8,4.7,51.5
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,49.2,2.3,51.5
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,45.6,5.4,51
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,45.6,5.05,50.65
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,46.8,3.8,50.6
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,45.6,4.65,50.25
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,45.6,4.1,49.7
Universidade Federal do Triangulo Mineiro - Uberaba,obstetrícia e ginecologia,45.6,4.05,49.65
Universidade Federal do Triangulo Mineiro - Uberaba,oftalmologia,75.6,7.4,83
Universidade Federal do Triangulo Mineiro - Uberaba,oftalmologia,72,10,82
Universidade Federal do Triangulo Mineiro - Uberaba,oftalmologia,72,10,82
Universidade Federal do Triangulo Mineiro - Uberaba,oftalmologia,72,8.1,80.1
Universidade Federal do Triangulo Mineiro - Uberaba,oftalmologia,69.6,8.1,77.7
Universidade Federal do Triangulo Mineiro - Uberaba,oftalmologia,69.6,8,77.6
Universidade Federal do Triangulo Mineiro - Uberaba,oftalmologia,68.4,9,77.4
Universidade Federal do Triangulo Mineiro - Uberaba,oftalmologia,67.2,10,77.2
Universidade Federal do Triangulo Mineiro - Uberaba,oftalmologia,66,10,76
Universidade Federal do Triangulo Mineiro - Uberaba,oftalmologia,68.4,6.8,75.2
Universidade Federal do Triangulo Mineiro - Uberaba,oftalmologia,66,9,75
Universidade Federal do Triangulo Mineiro - Uberaba,oftalmologia,64.8,10,74.8
Universidade Federal do Triangulo Mineiro - Uberaba,oftalmologia,64.8,9.9,74.7
Universidade Federal do Triangulo Mineiro - Uberaba,oftalmologia,67.2,7.3,74.5
Universidade Federal do Triangulo Mineiro - Uberaba,oftalmologia,66,8.5,74.5
Universidade Federal do Triangulo Mineiro - Uberaba,oftalmologia,64.8,9.3,74.1
Universidade Federal do Triangulo Mineiro - Uberaba,oftalmologia,64.8,9,73.8
Universidade Federal do Triangulo Mineiro - Uberaba,oftalmologia,63.6,10,73.6
Universidade Federal do Triangulo Mineiro - Uberaba,oftalmologia,64.8,8.7,73.5
Universidade Federal do Triangulo Mineiro - Uberaba,oftalmologia,66,7.4,73.4
Universidade Federal do Triangulo Mineiro - Uberaba,oftalmologia,67.2,6.1,73.3
Universidade Federal do Triangulo Mineiro - Uberaba,oftalmologia,63.6,9.3,72.9
Universidade Federal do Triangulo Mineiro - Uberaba,oftalmologia,62.4,10,72.4
Universidade Federal do Triangulo Mineiro - Uberaba,oftalmologia,67.2,4.5,71.7
Universidade Federal do Triangulo Mineiro - Uberaba,oftalmologia,61.2,10,71.2
Universidade Federal do Triangulo Mineiro - Uberaba,oftalmologia,62.4,8.5,70.9
Universidade Federal do Triangulo Mineiro - Uberaba,oftalmologia,57.6,6.7,70.73
Universidade Federal do Triangulo Mineiro - Uberaba,oftalmologia,63.6,7,70.6
Universidade Federal do Triangulo Mineiro - Uberaba,oftalmologia,60,10,70
Universidade Federal do Triangulo Mineiro - Uberaba,oftalmologia,62.4,7.5,69.9
Universidade Federal do Triangulo Mineiro - Uberaba,oftalmologia,62.4,7.3,69.7
Universidade Federal do Triangulo Mineiro - Uberaba,oftalmologia,56.4,6.7,69.41
Universidade Federal do Triangulo Mineiro - Uberaba,oftalmologia,57.6,5.35,69.25
Universidade Federal do Triangulo Mineiro - Uberaba,oftalmologia,62.4,6.7,69.1
Universidade Federal do Triangulo Mineiro - Uberaba,oftalmologia,61.2,7.8,69
Universidade Federal do Triangulo Mineiro - Uberaba,oftalmologia,63.6,5.2,68.8
Universidade Federal do Triangulo Mineiro - Uberaba,oftalmologia,61.2,7.4,68.6
Universidade Federal do Triangulo Mineiro - Uberaba,oftalmologia,60,8.5,68.5
Universidade Federal do Triangulo Mineiro - Uberaba,oftalmologia,63.6,4.8,68.4
Universidade Federal do Triangulo Mineiro - Uberaba,oftalmologia,60,8.3,68.3
Universidade Federal do Triangulo Mineiro - Uberaba,oftalmologia,61.2,6.8,68
Universidade Federal do Triangulo Mineiro - Uberaba,oftalmologia,62.4,5.5,67.9
Universidade Federal do Triangulo Mineiro - Uberaba,oftalmologia,62.4,5.5,67.9
Universidade Federal do Triangulo Mineiro - Uberaba,oftalmologia,61.2,6.6,67.8
Universidade Federal do Triangulo Mineiro - Uberaba,oftalmologia,62.4,5.3,67.7
Universidade Federal do Triangulo Mineiro - Uberaba,oftalmologia,57.6,10,67.6
Universidade Federal do Triangulo Mineiro - Uberaba,oftalmologia,61.2,6.25,67.45
Universidade Federal do Triangulo Mineiro - Uberaba,oftalmologia,57.6,9.8,67.4
Universidade Federal do Triangulo Mineiro - Uberaba,oftalmologia,64.8,2.5,67.3
Universidade Federal do Triangulo Mineiro - Uberaba,oftalmologia,57.6,9.5,67.1
Universidade Federal do Triangulo Mineiro - Uberaba,oftalmologia,56.4,10,66.4
Universidade Federal do Triangulo Mineiro - Uberaba,oftalmologia,57.6,8.8,66.4
Universidade Federal do Triangulo Mineiro - Uberaba,oftalmologia,61.2,5.05,66.25
Universidade Federal do Triangulo Mineiro - Uberaba,oftalmologia,62.4,3.8,66.2
Universidade Federal do Triangulo Mineiro - Uberaba,oftalmologia,56.4,9.7,66.1
Universidade Federal do Triangulo Mineiro - Uberaba,oftalmologia,58.8,7.25,66.05
Universidade Federal do Triangulo Mineiro - Uberaba,oftalmologia,58.8,7,65.8
Universidade Federal do Triangulo Mineiro - Uberaba,oftalmologia,57.6,8.1,65.7
Universidade Federal do Triangulo Mineiro - Uberaba,oftalmologia,58.8,6.8,65.6
Universidade Federal do Triangulo Mineiro - Uberaba,oftalmologia,60,5.6,65.6
Universidade Federal do Triangulo Mineiro - Uberaba,oftalmologia,52.8,6.8,65.56
Universidade Federal do Triangulo Mineiro - Uberaba,oftalmologia,61.2,4.2,65.4
Universidade Federal do Triangulo Mineiro - Uberaba,oftalmologia,56.4,9,65.4
Universidade Federal do Triangulo Mineiro - Uberaba,oftalmologia,58.8,6.5,65.3
Universidade Federal do Triangulo Mineiro - Uberaba,oftalmologia,55.2,10,65.2
Universidade Federal do Triangulo Mineiro - Uberaba,oftalmologia,56.4,8.7,65.1
Universidade Federal do Triangulo Mineiro - Uberaba,oftalmologia,58.8,6.1,64.9
Universidade Federal do Triangulo Mineiro - Uberaba,oftalmologia,56.4,8.3,64.7
Universidade Federal do Triangulo Mineiro - Uberaba,oftalmologia,56.4,8,64.4
Universidade Federal do Triangulo Mineiro - Uberaba,oftalmologia,60,4.3,64.3
Universidade Federal do Triangulo Mineiro - Uberaba,oftalmologia,56.4,7.8,64.2
Universidade Federal do Triangulo Mineiro - Uberaba,oftalmologia,56.4,7.6,64
Universidade Federal do Triangulo Mineiro - Uberaba,oftalmologia,55.2,8.7,63.9
Universidade Federal do Triangulo Mineiro - Uberaba,oftalmologia,55.2,8.7,63.9
Universidade Federal do Triangulo Mineiro - Uberaba,oftalmologia,56.4,7.5,63.9
Universidade Federal do Triangulo Mineiro - Uberaba,oftalmologia,57.6,6.2,63.8
Universidade Federal do Triangulo Mineiro - Uberaba,oftalmologia,56.4,7.35,63.75
Universidade Federal do Triangulo Mineiro - Uberaba,oftalmologia,58.8,4.4,63.2
Universidade Federal do Triangulo Mineiro - Uberaba,oftalmologia,55.2,8,63.2
Universidade Federal do Triangulo Mineiro - Uberaba,oftalmologia,56.4,6.7,63.1
Universidade Federal do Triangulo Mineiro - Uberaba,oftalmologia,57.6,5.3,62.9
Universidade Federal do Triangulo Mineiro - Uberaba,oftalmologia,56.4,6.5,62.9
Universidade Federal do Triangulo Mineiro - Uberaba,oftalmologia,57.6,5.25,62.85
Universidade Federal do Triangulo Mineiro - Uberaba,oftalmologia,58.8,4,62.8
Universidade Federal do Triangulo Mineiro - Uberaba,oftalmologia,52.8,10,62.8
Universidade Federal do Triangulo Mineiro - Uberaba,oftalmologia,52.8,10,62.8
Universidade Federal do Triangulo Mineiro - Uberaba,oftalmologia,54,8.6,62.6
Universidade Federal do Triangulo Mineiro - Uberaba,oftalmologia,58.8,3.7,62.5
Universidade Federal do Triangulo Mineiro - Uberaba,oftalmologia,57.6,4.8,62.4
Universidade Federal do Triangulo Mineiro - Uberaba,oftalmologia,58.8,3.6,62.4
Universidade Federal do Triangulo Mineiro - Uberaba,oftalmologia,57.6,4.75,62.35
Universidade Federal do Triangulo Mineiro - Uberaba,oftalmologia,55.2,7.1,62.3
Universidade Federal do Triangulo Mineiro - Uberaba,oftalmologia,55.2,7,62.2
Universidade Federal do Triangulo Mineiro - Uberaba,oftalmologia,56.4,5.7,62.1
Universidade Federal do Triangulo Mineiro - Uberaba,oftalmologia,56.4,5.6,62
Universidade Federal do Triangulo Mineiro - Uberaba,oftalmologia,54,2.3,61.93
Universidade Federal do Triangulo Mineiro - Uberaba,oftalmologia,58.8,3.05,61.85
Universidade Federal do Triangulo Mineiro - Uberaba,oftalmologia,54,7.8,61.8
Universidade Federal do Triangulo Mineiro - Uberaba,oftalmologia,56.4,5.3,61.7
Universidade Federal do Triangulo Mineiro - Uberaba,oftalmologia,54,7.7,61.7
Universidade Federal do Triangulo Mineiro - Uberaba,oftalmologia,57.6,3.95,61.55
Universidade Federal do Triangulo Mineiro - Uberaba,oftalmologia,54,7.5,61.5
Universidade Federal do Triangulo Mineiro - Uberaba,oftalmologia,52.8,8.7,61.5
